iter	Passed	Remaining
409	3534	5086
410	3539	5072
411	3545	5059
412	3550	5046
413	3556	5034
414	3562	5021
415	3567	5008
416	3572	4994
417	3580	4984
418	3586	4972
419	3591	4959
420	3596	4946
421	3601	4933
422	3607	4920
423	3612	4907
424	3617	4894
425	3623	4881
426	3628	4869
427	3634	4857
428	3640	4845
429	3645	4832
430	3653	4823
431	3659	4811
432	3664	4798
433	3669	4786
434	3674	4773
435	3680	4761
436	3686	4749
437	3691	4736
438	3697	4724
439	3702	4712
440	3708	4700
441	3714	4688
442	3719	4676
443	3724	4664
444	3729	4651
445	3735	4640
446	3741	4628
447	3746	4616
448	3751	4603
449	3767	4604
450	3779	4600
451	3785	4589
452	3798	4587
453	3810	4582
454	3817	4572
455	3827	4566
456	3833	4554
457	3843	4548
458	3849	4537
459	3859	4530
460	3864	4518
461	3873	4510
462	3878	4498
463	3883	4485
464	3892	4478
465	3898	4467
466	3913	4467
467	3927	4464
468	3938	4458
469	3943	4447
470	3952	4439
471	3958	4428
472	3967	4420
473	3973	4409
474	3978	4397
475	3988	4390
476	3994	4379
477	4003	4371
478	4008	4359
479	4019	4354
480	4026	4344
481	4035	4336
482	4040	4325
483	4050	4318
484	4056	4307
485	4066	4301
486	4072	4290
487	4081	4282
488	4087	4271
489	4096	4264
490	4102	4252
491	4109	4242
492	4116	4233
493	4126	4226
494	4132	4215
495	4138	4204
496	4146	4196
497	4152	4185
498	4160	4177
499	4166	4166
500	4175	4158
501	4181	4148
502	4191	4141
503	4196	4129
504	4204	4121
505	4211	4111
506	4218	4101
507	4225	4092
508	4232	4083
509	4240	4074
510	4246	4063
511	4255	4056
512	4261	4045
513	4270	4038
514	4276	4027
515	4285	4019
516	4291	4009
517	4302	4003
518	4309	3994
519	4322	3990
520	4331	3982
521	4338	3972
522	4347	3965
523	4353	3954
524	4359	3944
525	4367	3936
526	4373	3925
527	4381	3916
528	4385	3904
529	4390	3893
530	4398	3884
531	4403	3874
532	4413	3866
533	4418	3856
534	4428	3848
535	4433	3837
536	4441	3829
537	4447	3819
538	4455	3810
539	4461	3800
540	4469	3791
541	4475	3782
542	4485	3775
543	4492	3766
544	4504	3760
545	4510	3750
546	4523	3745
547	4534	3740
548	4540	3730
549	4550	3723
550	4557	3714
551	4567	3707
552	4573	3696
553	4583	3689
554	4589	3679
555	4598	3671
556	4602	3660
557	4607	3649
558	4616	3642
559	4622	3632
560	4631	3624
561	4636	3613
562	4641	3603
563	4650	3594
564	4655	3584
565	4665	3577
566	4671	3567
567	4681	3560
568	4688	3551
569	4698	3544
570	4711	3540
571	4718	3530
572	4727	3522
573	4732	3512
574	4740	3503
575	4745	3493
576	4751	3483
577	4756	3473
578	4763	3463
579	4772	3456
580	4778	3446
581	4788	3439
582	4795	3430
583	4805	3422
584	4811	3413
585	4822	3407
586	4829	3398
587	4835	3388
588	4840	3378
589	4849	3369
590	4853	3359
591	4858	3348
592	4866	3340
593	4871	3329
594	4880	3322
595	4885	3311
596	4894	3303
597	4900	3294
598	4909	3286
599	4915	3276
600	4924	3269
601	4933	3261
602	4945	3255
603	4952	3247
604	4962	3240
605	4972	3233
606	4979	3223
607	4990	3217
608	4996	3208
609	5006	3200
610	5013	3191
611	5024	3185
612	5030	3175
613	5039	3168
614	5045	3158
615	5054	3150
616	5058	3140
617	5066	3131
618	5071	3121
619	5076	3111
620	5089	3106
621	5099	3099
622	5105	3089
623	5110	3079
624	5118	3071
625	5126	3062
626	5132	3053
627	5138	3043
628	5144	3034
629	5151	3025
630	5158	3016
631	5164	3007
632	5170	2998
633	5176	2988
634	5182	2979
635	5188	2969
636	5194	2960
637	5199	2950
638	5203	2939
639	5208	2929
640	5212	2919
641	5219	2910
642	5224	2900
643	5228	2890
644	5233	2880
645	5239	2870
646	5244	2861
647	5249	2851
648	5254	2842
649	5260	2832
650	5265	2823
651	5271	2813
652	5278	2804
653	5283	2795
654	5289	2786
655	5296	2777
656	5302	2768
657	5309	2759
658	5315	2750
659	5321	2741
660	5327	2732
661	5333	2722
662	5339	2713
663	5343	2703
664	5348	2694
665	5353	2684
666	5358	2675
667	5363	2665
668	5369	2656
669	5374	2647
670	5379	2637
671	5384	2628
672	5390	2618
673	5395	2609
674	5400	2600
675	5406	2591
676	5412	2582
677	5418	2573
678	5424	2564
679	5429	2555
680	5436	2546
681	5442	2537
682	5449	2529
683	5458	2521
684	5466	2513
685	5472	2504
686	5478	2496
687	5483	2486
688	5488	2477
689	5492	2467
690	5497	2458
691	5502	2449
692	5507	2439
693	5511	2430
694	5516	2420
695	5521	2411
696	5527	2402
697	5533	2393
698	5538	2384
699	5543	2375
700	5549	2366
701	5555	2358
702	5560	2349
703	5566	2340
704	5572	2331
705	5578	2323
706	5585	2314
707	5592	2306
708	5598	2297
709	5604	2289
710	5611	2280
711	5617	2272
712	5623	2263
713	5627	2254
714	5632	2244
715	5636	2235
716	5641	2226
717	5645	2217
718	5650	2208
719	5657	2200
720	5664	2192
721	5672	2184
722	5678	2175
723	5685	2167
724	5690	2158
725	5700	2151
726	5706	2142
727	5715	2135
728	5722	2127
729	5733	2120
730	5743	2113
731	5752	2106
732	5766	2100
733	5777	2093
734	5783	2085
735	5795	2078
736	5801	2070
737	5811	2063
738	5817	2054
739	5827	2047
740	5833	2038
741	5842	2031
742	5847	2022
743	5859	2016
744	5873	2010
745	5879	2001
746	5889	1994
747	5894	1986
748	5903	1978
749	5909	1969
750	5916	1961
751	5922	1953
752	5928	1944
753	5937	1937
754	5943	1928
755	5954	1921
756	5960	1913
757	5968	1905
758	5974	1896
759	5983	1889
760	5989	1880
761	5998	1873
762	6004	1864
763	6014	1857
764	6020	1849
765	6031	1842
766	6037	1833
767	6047	1826
768	6054	1818
769	6063	1811
770	6069	1802
771	6077	1794
772	6083	1786
773	6089	1778
774	6096	1769
775	6101	1761
776	6111	1753
777	6117	1745
778	6127	1738
779	6133	1730
780	6142	1722
781	6148	1714
782	6158	1706
783	6163	1698
784	6173	1690
785	6179	1682
786	6188	1674
787	6194	1666
788	6203	1659
789	6209	1650
790	6218	1643
791	6225	1634
792	6236	1627
793	6243	1619
794	6254	1612
795	6260	1604
796	6269	1596
797	6275	1588
798	6284	1581
799	6290	1572
800	6298	1564
801	6304	1556
802	6314	1549
803	6320	1540
804	6329	1533
805	6336	1525
806	6345	1517
807	6350	1509
808	6355	1500
809	6365	1493
810	6370	1484
811	6380	1477
812	6387	1469
813	6397	1461
814	6402	1453
815	6412	1445
816	6418	1437
817	6428	1430
818	6435	1422
819	6444	1414
820	6450	1406
821	6460	1398
822	6465	1390
823	6475	1383
824	6480	1374
825	6488	1366
826	6494	1358
827	6500	1350
828	6507	1342
829	6513	1334
830	6525	1327
831	6535	1319
832	6541	1311
833	6547	1303
834	6555	1295
835	6561	1287
836	6570	1279
837	6576	1271
838	6585	1263
839	6591	1255
840	6600	1247
841	6605	1239
842	6613	1231
843	6620	1223
844	6633	1216
845	6640	1208
846	6650	1201
847	6656	1193
848	6666	1185
849	6671	1177
850	6682	1169
851	6687	1161
852	6695	1153
853	6700	1145
854	6704	1137
855	6713	1129
856	6718	1120
857	6726	1113
858	6732	1105
859	6740	1097
860	6746	1089
861	6751	1080
862	6760	1073
863	6766	1065
864	6776	1057
865	6783	1049
866	6793	1042
867	6800	1034
868	6811	1026
869	6822	1019
870	6829	1011
871	6840	1004
872	6846	996
873	6857	988
874	6863	980
875	6874	973
876	6883	965
877	6889	957
878	6894	949
879	6904	941
880	6910	933
881	6919	925
882	6926	917
883	6934	909
884	6939	901
885	6944	893
886	6949	885
887	6955	877
888	6962	869
889	6967	861
890	6972	852
891	6979	845
892	6985	836
893	6990	828
894	6996	820
895	7003	812
896	7009	804
897	7016	796
898	7023	789
899	7030	781
900	7038	773
901	7046	765
902	7051	757
903	7057	749
904	7062	741
905	7066	733
906	7071	725
907	7075	716
908	7080	708
909	7085	700
910	7090	692
911	7095	684
912	7100	676
913	7106	668
914	7111	660
915	7116	652
916	7122	644
917	7128	636
918	7133	628
919	7139	620
920	7145	612
921	7151	605
922	7157	597
923	7164	589
924	7172	581
925	7178	573
926	7184	565
927	7189	557
928	7196	549
929	7201	542
930	7206	534
931	7211	526
932	7216	518
933	7220	510
934	7225	502
935	7229	494
936	7234	486
937	7239	478
938	7244	470
939	7250	462
940	7255	454
941	7260	447
942	7265	439
943	7271	431
944	7277	423
945	7283	415
946	7289	407
947	7295	400
948	7301	392
949	7308	384
950	7314	376
951	7320	369
952	7326	361
953	7332	353
954	7338	345
955	7344	338
956	7349	330
957	7353	322
958	7357	314
959	7362	306
960	7366	298
961	7370	291
962	7375	283
963	7379	275
964	7384	267
965	7389	260
966	7394	252
967	7398	244
968	7403	236
969	7408	229
970	7413	221
971	7419	213
972	7426	206
973	7433	198
974	7438	190
975	7444	183
976	7450	175
977	7456	167
978	7462	160
979	7468	152
980	7475	144
981	7482	137
982	7488	129
983	7495	121
984	7502	114
985	7509	106
986	7519	99
987	7528	91
988	7537	83
989	7551	76
990	7564	68
991	7570	61
992	7580	53
993	7585	45
994	7595	38
995	7599	30
996	7606	22
997	7612	15
998	7617	7
999	7627	0
